Attributes	Close	Close	Volume	Volume
Symbols	BMO.TO	TRI.TO	BMO.TO	TRI.TO
Date				
2019-08-26	92.38	87.94	969900.00	399800.00
2019-08-27	89.21	89.47	4958300.00	659400.00
2019-08-28	89.36	89.72	2429700.00	307800.00
2019-08-29	91.21	91.11	2698100.00	458500.00
2019-08-30	91.26	91.49	1368400.00	616400.00
2019-09-03	90.43	91.58	1676200.00	785200.00
2019-09-04	90.18	92.24	1757600.00	574800.00
2019-09-05	91.77	93.55	2124200.00	577300.00
2019-09-06	92.23	93.26	1397200.00	390100.00
2019-09-09	93.21	91.14	1480200.00	671200.00
2019-09-10	94.90	89.35	1611200.00	495300.00
2019-09-11	95.50	88.07	1826600.00	736300.00
2019-09-12	95.94	89.07	1477200.00	535300.00
2019-09-13	96.48	88.87	1584000.00	417100.00
2019-09-16	96.42	87.70	1197300.00	336500.00
2019-09-17	96.61	89.61	1322800.00	456700.00
2019-09-18	97.22	89.38	1474700.00	353400.00
2019-09-19	97.31	89.57	2212000.00	358700.00
2019-09-20	97.58	88.70	3115200.00	1505300.00
2019-09-23	96.92	88.84	985400.00	258700.00
2019-09-24	96.12	89.17	2154500.00	329400.00
2019-09-25	97.10	89.79	2168500.00	292100.00
2019-09-26	97.02	89.67	1464000.00	339600.00
2019-09-27	97.61	87.83	1370500.00	278000.00
2019-09-30	97.58	88.55	1452300.00	437900.00
2019-10-01	96.97	87.90	1827800.00	285200.00
2019-10-02	95.84	87.70	1636600.00	373600.00
2019-10-03	95.51	88.64	3024900.00	308200.00
2019-10-04	95.86	89.52	2976400.00	259500.00
2019-10-07	96.12	89.39	1344800.00	238000.00
2019-10-08	95.16	87.79	1584100.00	399000.00
2019-10-09	95.78	89.37	1313400.00	188900.00
2019-10-10	96.14	89.14	895800.00	250800.00
2019-10-11	96.98	88.26	2312500.00	304900.00
2019-10-15	96.83	87.56	1969800.00	474400.00
2019-10-16	97.22	87.42	1835200.00	386700.00
2019-10-17	96.89	87.69	1209300.00	613300.00
2019-10-18	96.86	87.52	1098700.00	362000.00
2019-10-21	97.42	87.93	1547500.00	557600.00
2019-10-22	97.61	87.15	1367000.00	229400.00
2019-10-23	97.71	86.85	5356400.00	389000.00
2019-10-24	97.51	87.74	3725200.00	385500.00
2019-10-25	98.10	86.35	3641900.00	397300.00
2019-10-28	98.15	86.59	1091300.00	293900.00
2019-10-29	98.29	87.79	1177500.00	319400.00
2019-10-30	98.93	89.10	3689100.00	402800.00
2019-10-31	97.50	88.51	2773400.00	481900.00
2019-11-01	97.93	88.82	3260900.00	292400.00
2019-11-04	98.43	88.21	3377400.00	497700.00
2019-11-05	99.21	87.75	2921800.00	562200.00
2019-11-06	99.54	88.00	1785200.00	676800.00
2019-11-07	100.52	88.00	2226500.00	666800.00
2019-11-08	100.68	89.01	724300.00	554600.00
2019-11-11	100.48	90.88	1187700.00	638300.00
2019-11-12	100.60	90.34	2643800.00	917800.00
2019-11-13	100.32	91.83	2057400.00	585200.00
2019-11-14	100.95	92.40	1042500.00	603100.00
2019-11-15	101.34	93.18	1096600.00	705900.00
2019-11-18	101.38	93.86	1043700.00	560900.00
2019-11-19	101.35	94.92	1803200.00	571700.00
2019-11-20	101.46	95.10	1743400.00	289500.00
2019-11-21	101.18	95.21	1798900.00	1037700.00
2019-11-22	101.08	94.71	1166700.00	304500.00
2019-11-25	101.34	95.36	1844500.00	571700.00
2019-11-26	101.50	94.83	1640000.00	884500.00
2019-11-27	102.12	94.13	1343400.00	674400.00
2019-11-28	102.29	93.46	445600.00	97000.00
2019-11-29	102.22	92.88	885800.00	294600.00
2019-12-02	100.71	93.17	2043600.00	591000.00
2019-12-03	98.57	92.48	3555000.00	332700.00
2019-12-04	99.19	91.94	1898000.00	677700.00
2019-12-05	99.65	92.77	2521500.00	302000.00
2019-12-06	100.12	94.04	1176400.00	292000.00
2019-12-09	99.72	93.79	1364900.00	326100.00
2019-12-10	100.02	94.06	1347000.00	502800.00
2019-12-11	99.96	94.27	1028300.00	404200.00
2019-12-12	100.55	94.14	1728400.00	516200.00
2019-12-13	101.47	95.23	2114500.00	383800.00
2019-12-16	101.74	95.46	1180600.00	252300.00
2019-12-17	102.00	95.80	1287800.00	371000.00
2019-12-18	101.65	94.29	1801400.00	459000.00
2019-12-19	101.71	94.24	1461200.00	435900.00
2019-12-20	102.17	94.69	3208800.00	915000.00
2019-12-23	101.25	93.96	1125500.00	459200.00
2019-12-24	101.12	94.27	1093500.00	69900.00
2019-12-27	101.01	94.10	693900.00	324200.00
2019-12-30	100.72	93.42	570600.00	178500.00
2019-12-31	100.64	92.89	857000.00	195400.00
2020-01-02	100.85	93.73	753600.00	275200.00
2020-01-03	100.60	94.30	1473000.00	311500.00
2020-01-06	100.52	95.11	1147500.00	233400.00
2020-01-07	100.35	95.81	702000.00	382100.00
2020-01-08	101.08	96.85	1088400.00	456200.00
2020-01-09	101.45	98.49	1683900.00	325900.00
2020-01-10	101.42	98.09	1243400.00	282800.00
2020-01-13	102.20	99.40	4100400.00	387700.00
2020-01-14	102.71	100.15	1923500.00	535200.00
2020-01-15	103.01	100.92	1729600.00	439800.00
2020-01-16	103.36	102.55	1809800.00	488100.00
2020-01-17	103.80	103.09	1545900.00	359000.00
2020-01-20	103.50	103.31	1591500.00	89300.00
2020-01-21	104.34	103.12	1384400.00	463000.00
2020-01-22	104.40	103.53	1100600.00	228000.00
2020-01-23	104.25	103.47	2397400.00	314700.00
2020-01-24	104.02	104.06	1888100.00	338400.00
2020-01-27	103.40	105.25	4184800.00	336800.00
2020-01-28	103.72	105.78	4582100.00	413400.00
2020-01-29	103.49	106.19	3678300.00	350400.00
2020-01-30	103.37	106.83	1461200.00	320100.00
2020-01-31	100.93	106.39	1826200.00	472500.00
2020-02-03	100.53	107.30	3794600.00	341400.00
2020-02-04	101.29	108.29	2659600.00	415300.00
2020-02-05	101.83	106.70	2350200.00	624700.00
2020-02-06	102.47	108.83	2552400.00	504100.00
2020-02-07	102.49	108.08	852400.00	337700.00
2020-02-10	102.15	108.98	1864500.00	276300.00
2020-02-11	102.16	108.14	1629000.00	291400.00
2020-02-12	102.06	107.96	1977800.00	339500.00
2020-02-13	101.75	108.27	3082100.00	456100.00
2020-02-14	101.81	108.55	546100.00	706300.00
2020-02-18	101.30	108.10	2277600.00	347300.00
2020-02-19	101.09	108.49	1127100.00	513800.00
2020-02-20	101.25	108.36	1558000.00	512300.00
2020-02-21	100.92	107.26	1934000.00	472900.00
2020-02-24	99.47	106.60	2826800.00	425100.00
2020-02-25	97.25	107.20	3012700.00	1015100.00
2020-02-26	95.70	103.24	3015000.00	1189800.00
2020-02-27	93.51	103.05	2012800.00	455800.00
2020-02-28	91.21	99.71	4242900.00	1560000.00
2020-03-02	92.10	101.66	2796500.00	1239800.00
2020-03-03	89.98	101.59	3630700.00	1202500.00
2020-03-04	90.93	104.93	2321700.00	802100.00
2020-03-05	88.01	101.94	3173700.00	1160100.00
2020-03-06	84.37	100.30	4113800.00	1122200.00
2020-03-09	73.16	96.53	5946800.00	1527000.00
2020-03-10	75.97	99.70	6116200.00	1434900.00
2020-03-11	72.38	94.83	5313900.00	1084100.00
2020-03-12	60.50	85.30	11609700.00	2317200.00
2020-03-13	70.77	89.56	8046800.00	1670300.00
2020-03-16	62.01	80.78	4621900.00	1276000.00
2020-03-17	61.41	82.03	7088300.00	1534500.00
2020-03-18	58.13	81.96	5353600.00	1008500.00
2020-03-19	60.67	84.34	5091100.00	764500.00
2020-03-20	62.26	80.01	8743500.00	1898700.00
2020-03-23	56.24	76.46	5328000.00	964900.00
2020-03-24	64.10	82.34	5574400.00	1091700.00
2020-03-25	69.67	86.26	6015900.00	1110500.00
2020-03-26	69.98	86.63	3482800.00	776000.00
