Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07,91.18,69.56,61.76,16.23,103.58,73.19,65.21,18.17,104.14,73.63,66.12,18.48,103.16,72.70,64.64,18.14,103.85,72.71,64.79,18.45,1546500.00,891000.00,626600.00,497700.00
2019-03-08,90.52,68.60,61.35,16.12,102.83,72.18,64.78,18.05,103.03,72.86,65.40,18.22,102.41,72.06,64.41,18.00,102.77,72.74,65.18,18.12,1792000.00,634200.00,484800.00,505700.00
2019-03-11,90.54,69.61,61.52,16.42,102.85,73.24,64.96,18.39,103.13,73.46,65.58,18.48,102.52,72.31,64.63,18.05,102.84,72.31,64.80,18.08,1590200.00,410600.00,741700.00,723500.00
2019-03-12,89.75,69.81,61.56,16.21,101.95,73.45,65.00,18.15,103.11,73.92,65.05,18.52,101.67,73.01,64.61,17.97,102.98,73.28,64.88,18.39,1854600.00,479500.00,576000.00,782100.00
2019-03-13,89.85,70.40,61.46,16.23,102.07,74.07,64.90,18.17,102.49,74.17,65.09,18.33,101.51,73.50,64.85,18.09,102.14,73.59,65.05,18.27,3530300.00,435300.00,710300.00,1671000.00
2019-03-14,90.38,70.63,61.85,16.06,102.67,74.32,65.01,17.98,102.78,74.50,65.38,18.23,102.19,74.15,64.69,17.87,102.32,74.25,64.73,18.18,913400.00,403400.00,778500.00,684900.00
2019-03-15,91.29,71.52,62.47,16.09,103.70,75.25,65.66,18.02,103.76,75.36,65.72,18.22,102.70,74.32,64.81,17.87,102.88,74.64,65.21,18.06,5267600.00,1786400.00,1613000.00,5348600.00
2019-03-18,91.65,71.54,62.29,16.42,104.11,75.27,65.47,18.39,104.11,75.59,65.63,18.66,103.50,74.68,65.00,17.98,103.70,75.13,65.53,18.04,994300.00,370000.00,465200.00,760700.00
2019-03-19,91.14,71.72,61.96,16.61,103.54,75.46,65.13,18.60,104.14,75.83,65.46,18.66,103.36,74.93,64.84,18.35,104.14,75.30,65.46,18.43,910700.00,409900.00,573900.00,652400.00
2019-03-20,90.44,71.61,61.55,16.18,102.74,75.35,64.69,18.12,103.38,75.87,65.17,18.63,102.48,75.17,64.69,18.12,103.30,75.41,64.99,18.58,1293600.00,426100.00,374800.00,625300.00
