Attributes,Close,Close,Close,Close,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,
2019-07-12,100.01,87.80,67.08,21.50,1157500.00,435600.00,356200.00,223100.00
2019-07-15,99.46,88.64,67.15,21.62,1054700.00,363200.00,237400.00,386500.00
2019-07-16,99.43,88.38,66.86,21.58,765200.00,262700.00,510100.00,443000.00
2019-07-17,98.92,88.34,66.91,21.50,1192600.00,370700.00,255800.00,275400.00
2019-07-18,99.10,89.05,66.91,21.29,1271400.00,429300.00,319600.00,565800.00
2019-07-19,98.71,88.37,66.86,21.27,1000700.00,300100.00,341100.00,443500.00
2019-07-22,98.69,89.30,67.19,21.11,1086700.00,377700.00,177700.00,450900.00
2019-07-23,99.16,89.83,67.86,21.24,1229400.00,248800.00,271000.00,299100.00
2019-07-24,99.79,88.86,66.41,21.19,1313500.00,573300.00,1004400.00,453300.00
2019-07-25,99.83,88.88,66.80,20.75,2934600.00,401200.00,429800.00,670800.00
2019-07-26,99.98,92.74,68.03,20.87,1420400.00,855200.00,292400.00,356100.00
2019-07-29,100.24,89.89,68.84,20.69,3628200.00,822200.00,591700.00,515000.00
2019-07-30,99.59,90.04,68.31,20.60,1929400.00,555800.00,473700.00,478000.00
2019-07-31,98.80,88.64,68.48,20.46,1690100.00,730800.00,578900.00,740800.00
2019-08-01,97.45,90.19,68.95,20.32,1399100.00,1114900.00,748700.00,439900.00
2019-08-02,96.70,88.35,68.81,20.17,1819500.00,705400.00,413200.00,269100.00
2019-08-06,95.06,88.05,68.89,20.09,3856800.00,856200.00,721000.00,467400.00
2019-08-07,95.21,89.64,69.32,20.08,1409500.00,735800.00,712300.00,395400.00
2019-08-08,95.67,89.28,69.76,18.32,1008600.00,406900.00,474400.00,1316500.00
2019-08-09,95.44,89.62,70.51,18.20,1944100.00,369300.00,651200.00,898600.00
2019-08-12,94.22,88.51,70.70,18.12,890600.00,364000.00,535700.00,482100.00
2019-08-13,94.77,88.96,71.24,18.40,1089000.00,787100.00,637900.00,775600.00
2019-08-14,92.70,87.25,70.51,18.28,1747700.00,468100.00,588100.00,696200.00
2019-08-15,92.35,87.55,70.99,18.38,1676100.00,318100.00,482200.00,514900.00
2019-08-16,93.19,89.46,71.98,18.85,1463800.00,301800.00,398200.00,720700.00
2019-08-19,94.01,90.00,72.29,19.05,1828800.00,374300.00,404700.00,412800.00
2019-08-20,92.62,89.81,72.25,18.97,1187100.00,397800.00,470900.00,431800.00
2019-08-21,93.16,89.77,72.20,19.10,1061100.00,419000.00,402400.00,424500.00
2019-08-22,93.06,89.57,71.82,19.10,1435400.00,439000.00,399800.00,323800.00
2019-08-23,92.00,87.34,71.00,18.82,1241600.00,615600.00,365700.00,329200.00
2019-08-26,92.38,87.94,71.22,18.95,969900.00,399800.00,312700.00,408000.00
2019-08-27,89.21,89.47,71.61,19.38,4958300.00,659400.00,571000.00,1207500.00
2019-08-28,89.36,89.72,71.82,19.05,2429700.00,307800.00,478000.00,494200.00
2019-08-29,91.21,91.11,72.67,19.07,2698100.00,458500.00,370600.00,597100.00
2019-08-30,91.26,91.49,72.87,19.08,1368400.00,616400.00,425800.00,593900.00
2019-09-03,90.43,91.58,73.15,18.89,1676200.00,785200.00,470800.00,709000.00
2019-09-04,90.18,92.24,73.77,18.71,1757600.00,574800.00,845400.00,771600.00
2019-09-05,91.77,93.55,74.25,19.15,2124200.00,577300.00,523300.00,580500.00
2019-09-06,92.23,93.26,74.22,19.08,1397200.00,390100.00,469000.00,392600.00
2019-09-09,93.21,91.14,74.50,19.06,1480200.00,671200.00,415800.00,320400.00
2019-09-10,94.90,89.35,73.94,18.97,1611200.00,495300.00,484700.00,515900.00
2019-09-11,95.50,88.07,72.65,19.14,1826600.00,736300.00,857200.00,830400.00
2019-09-12,95.94,89.07,72.24,19.25,1477200.00,535300.00,914200.00,460700.00
2019-09-13,96.48,88.87,72.44,19.30,1584000.00,417100.00,638800.00,389100.00
2019-09-16,96.42,87.70,71.92,19.36,1197300.00,336500.00,582400.00,273800.00
2019-09-17,96.61,89.61,72.21,19.49,1322800.00,456700.00,528500.00,460500.00
2019-09-18,97.22,89.38,73.19,19.47,1474700.00,353400.00,721600.00,324700.00
2019-09-19,97.31,89.57,73.27,19.39,2212000.00,358700.00,621000.00,300800.00
2019-09-20,97.58,88.70,74.88,19.47,3115200.00,1505300.00,1769400.00,921100.00
2019-09-23,96.92,88.84,75.05,19.38,985400.00,258700.00,639500.00,272400.00
2019-09-24,96.12,89.17,75.77,19.16,2154500.00,329400.00,518500.00,525900.00
2019-09-25,97.10,89.79,75.68,19.16,2168500.00,292100.00,449900.00,389700.00
2019-09-26,97.02,89.67,75.06,19.46,1464000.00,339600.00,416500.00,1626300.00
2019-09-27,97.61,87.83,74.75,19.37,1370500.00,278000.00,390800.00,721500.00
2019-09-30,97.58,88.55,75.46,19.33,1452300.00,437900.00,463100.00,383900.00
2019-10-01,96.97,87.90,74.81,18.91,1827800.00,285200.00,413800.00,779100.00
2019-10-02,95.84,87.70,74.88,18.68,1636600.00,373600.00,358800.00,391500.00
2019-10-03,95.51,88.64,75.20,18.53,3024900.00,308200.00,474500.00,403500.00
2019-10-04,95.86,89.52,74.85,18.51,2976400.00,259500.00,424100.00,298400.00
2019-10-07,96.12,89.39,75.11,18.59,1344800.00,238000.00,317700.00,257300.00
2019-10-08,95.16,87.79,74.03,18.43,1584100.00,399000.00,546600.00,390100.00
2019-10-09,95.78,89.37,74.15,18.56,1313400.00,188900.00,659800.00,245600.00
2019-10-10,96.14,89.14,73.43,18.65,895800.00,250800.00,591200.00,233100.00
2019-10-11,96.98,88.26,73.01,18.86,2312500.00,304900.00,428000.00,371700.00
2019-10-15,96.83,87.56,72.60,18.84,1969800.00,474400.00,446100.00,400200.00
2019-10-16,97.22,87.42,71.62,19.14,1835200.00,386700.00,716200.00,380000.00
2019-10-17,96.89,87.69,71.50,18.91,1209300.00,613300.00,528200.00,378500.00
2019-10-18,96.86,87.52,71.22,19.09,1098700.00,362000.00,284800.00,437500.00
2019-10-21,97.42,87.93,71.42,19.06,1547500.00,557600.00,455500.00,271200.00
2019-10-22,97.61,87.15,70.77,19.15,1367000.00,229400.00,613100.00,417400.00
2019-10-23,97.71,86.85,69.85,19.06,5356400.00,389000.00,595400.00,255700.00
2019-10-24,97.51,87.74,69.22,19.13,3725200.00,385500.00,785600.00,284700.00
2019-10-25,98.10,86.35,69.60,19.17,3641900.00,397300.00,1068100.00,209100.00
2019-10-28,98.15,86.59,69.80,19.28,1091300.00,293900.00,309600.00,815300.00
2019-10-29,98.29,87.79,69.68,19.26,1177500.00,319400.00,592800.00,382500.00
2019-10-30,98.93,89.10,70.15,19.25,3689100.00,402800.00,201900.00,301200.00
2019-10-31,97.50,88.51,70.24,19.17,2773400.00,481900.00,448500.00,366000.00
2019-11-01,97.93,88.82,69.90,19.26,3260900.00,292400.00,428700.00,452700.00
2019-11-04,98.43,88.21,69.11,19.94,3377400.00,497700.00,504400.00,592100.00
2019-11-05,99.21,87.75,68.97,19.88,2921800.00,562200.00,444100.00,256400.00
2019-11-06,99.54,88.00,69.79,20.20,1785200.00,676800.00,373700.00,509700.00
2019-11-07,100.52,88.00,70.29,20.35,2226500.00,666800.00,376700.00,362300.00
2019-11-08,100.68,89.01,70.60,20.84,724300.00,554600.00,312200.00,449400.00
2019-11-11,100.48,90.88,70.31,20.64,1187700.00,638300.00,417700.00,389500.00
2019-11-12,100.60,90.34,70.31,20.93,2643800.00,917800.00,475500.00,571800.00
2019-11-13,100.32,91.83,70.86,21.10,2057400.00,585200.00,451200.00,398800.00
2019-11-14,100.95,92.40,69.28,20.97,1042500.00,603100.00,548700.00,381400.00
2019-11-15,101.34,93.18,69.68,20.89,1096600.00,705900.00,814900.00,407400.00
2019-11-18,101.38,93.86,70.19,21.13,1043700.00,560900.00,623500.00,265300.00
2019-11-19,101.35,94.92,70.26,21.00,1803200.00,571700.00,937100.00,800400.00
2019-11-20,101.46,95.10,70.47,20.83,1743400.00,289500.00,517300.00,333800.00
2019-11-21,101.18,95.21,70.74,20.86,1798900.00,1037700.00,512600.00,232000.00
2019-11-22,101.08,94.71,70.55,20.75,1166700.00,304500.00,518300.00,291700.00
2019-11-25,101.34,95.36,71.01,20.81,1844500.00,571700.00,476000.00,502000.00
2019-11-26,101.50,94.83,71.60,20.88,1640000.00,884500.00,1428200.00,1125400.00
2019-11-27,102.12,94.13,71.68,20.81,1343400.00,674400.00,550400.00,1068400.00
2019-11-28,102.29,93.46,72.03,20.84,445600.00,97000.00,307600.00,180800.00
2019-11-29,102.22,92.88,71.60,20.92,885800.00,294600.00,474700.00,333900.00
2019-12-02,100.71,93.17,71.84,20.71,2043600.00,591000.00,844000.00,506600.00
2019-12-03,98.57,92.48,72.05,20.98,3555000.00,332700.00,505800.00,958900.00
2019-12-04,99.19,91.94,71.55,20.90,1898000.00,677700.00,460200.00,545400.00
2019-12-05,99.65,92.77,71.74,21.06,2521500.00,302000.00,409100.00,340400.00
